Version	Code	Description	Definition
1.0	01	Local	A unique, persistent identifier used by the submitting organisation
1.0	02	NZBN	New Zealand Business Number
1.0	03	ABN	Australian Business Number
1.0	04	EBN	European Business Number
1.0	05	RN	US Registered Number
1.0	06	Ringgold	Ringgold identifier for organisations in the publishing industry supply chain
1.0	07	ROR	Research Organization Registry
1.0	08	GRID	Global Research Identifier Database
1.0	09	EDUMIS	Identifier for educational providers registered with the Ministry of Education's Education Management Information System (EDUMIS)
1.0	99	Other Identifier	An identifier not otherwise identified
